class,order,family,vernacularName,taxonKey,verbatimScientificName,iucnRedListCategory,image,wikipedia_url
Amphibia,Anura,Bufonidae,Sapito Achaleño,5216845,Rhinella achalensis,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/255135761/original.jpeg,https://es.wikipedia.org/wiki/Rhinella_achalensis
Elasmobranchii,Carcharhiniformes,Sphyrnidae,Cabeza De Martillo,2418794,Sphyrna zygaena,VU,https://static.inaturalist.org/photos/1343844/original.jpg,https://es.wikipedia.org/wiki/Sphyrna_zygaena
Mammalia,Cetacea,Phocoenidae,Marsopa Espinosa,2440666,Phocoena spinipinnis,NT,https://static.inaturalist.org/photos/74320828/original.jpeg,https://es.wikipedia.org/wiki/Phocoena_spinipinnis
Mammalia,Cingulata,Dasypodidae,Armadillo Gigante   Ocarro   Armadillo Trueno   Gramalón   Armadillo Gigante,5220096,Priodontes maximus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/116421927/original.jpeg,https://es.wikipedia.org/wiki/Priodontes_maximus
Elasmobranchii,Rhinopristiformes,Rhinobatidae,Guitarra,9361135,Pseudobatos horkelii,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/362015193/original.jpg,https://es.wikipedia.org/wiki/Pseudobatos_horkelii
Insecta,Lepidoptera,Papilionidae,Aceitosa Arlequín,5141257,Euryades duponchelii,NT,https://static.inaturalist.org/photos/6070768/original.jpg,http://en.wikipedia.org/wiki/Euryades_duponchelii
Amphibia,Anura,Telmatobiidae,Laguna De Los Pozuelos’ Rusted Frog,8546365,Telmatobius rubigo,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/104036184/original.jpg,https://es.wikipedia.org/wiki/Telmatobius_rubigo
Aves,Procellariiformes,Procellariidae,Pardela Gris,5739277,Puffinus griseus,NT,https://static.inaturalist.org/photos/180460944/original.jpeg,https://es.wikipedia.org/wiki/Puffinus_griseus
Aves,Passeriformes,Tyrannidae,Black-And-White Monjita,5789126,Xolmis dominicanus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/123784015/original.jpg,https://es.wikipedia.org/wiki/Xolmis_dominicanus
Aves,Passeriformes,Passeridae,Gorrión Italiano,8426551,Passer italiae,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/358418243/original.jpg,https://es.wikipedia.org/wiki/Passer_italiae
Aves,Charadriiformes,Scolopacidae,Correlimos Zarapitín,2481741,Calidris ferruginea,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/2324759/original.jpg,https://es.wikipedia.org/wiki/Calidris_ferruginea
Aves,Charadriiformes,Scolopacidae,Agachadiza Fueguina,2481811,Gallinago stricklandii,NT,https://static.inaturalist.org/photos/104604621/original.jpg,https://es.wikipedia.org/wiki/Gallinago_stricklandii
Mammalia,Artiodactyla,Tayassuidae,Chaco Argentino,2440998,Catagonus wagneri,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/107445545/original.jpg,https://es.wikipedia.org/wiki/Catagonus_wagneri
Aves,Anseriformes,Anatidae,Serreta Brasileña,5232480,Mergus octosetaceus,CR,https://static.inaturalist.org/photos/81235362/original.jpg,https://es.wikipedia.org/wiki/Mergus_octosetaceus
Aves,Columbiformes,Columbidae,Purple-Winged Ground Dove,2495921,Claravis godefrida,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/247513158/original.jpg,https://es.wikipedia.org/wiki/Claravis_godefrida
Aves,Accipitriformes,Accipitridae,Águila Solitaria,2480374,Harpyhaliaetus solitarius,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/104057724/original.jpeg,https://es.wikipedia.org/wiki/Harpyhaliaetus_solitarius
Aves,Accipitriformes,Accipitridae,Crowned Solitary Eagle,2480375,Harpyhaliaetus coronatus,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/27997355/original.jpg,https://es.wikipedia.org/wiki/Harpyhaliaetus_coronatus
Elasmobranchii,Rajiformes,Rajidae,Raya Picuda,2419788,Dipturus chilensis,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/11327651/original.jpeg,https://es.wikipedia.org/wiki/Dipturus_chilensis
Holocephali,Chimaeriformes,Callorhinchidae,Achagual,2417405,Callorhinchus callorhynchus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/260551576/original.jpeg,http://en.wikipedia.org/wiki/Callorhinchus_callorynchus
Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo Argentino,5215514,Tetronarce puelcha,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/2190339/original.JPG,https://es.wikipedia.org/wiki/Tetronarce_puelcha
Elasmobranchii,Rajiformes,Arhynchobatidae,Raya De Lunares,2420387,Bathyraja albomaculata,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/237069822/original.jpg,https://es.wikipedia.org/wiki/Bathyraja_albomaculata
